x,y,median_button,summed_button,summed_button_BGsub,std_button,x_button_center,y_button_center,radius_button_disk,median_button_annulus,summed_button_annulus_normed,std_button_annulus_localBG,inner_radius_button_annulus,outer_radius_button_annulus,xslice,yslice,id,postwash_images
1,5,3913,1728699,-266467,207,50,48,12,4082,1995166,1852,12,12,"(869, 969)","(458, 558)",0_0,9
1,5,3823,1691703,-256954,201,50,48,12,4012,1948657,1782,12,12,"(869, 969)","(458, 558)",0_0,10
1,5,3869,1715798,-257234,207,50,48,12,4058,1973032,1841,12,12,"(869, 969)","(458, 558)",0_0,11
1,5,3889,1721263,-262938,190,50,48,12,4068,1984201,1876,12,12,"(869, 969)","(458, 558)",0_0,12
1,5,3844,1701092,-250834,203,50,48,12,4013,1951926,1844,12,12,"(869, 969)","(458, 558)",0_0,13
1,5,3914,1730598,-261952,193,50,48,12,4080,1992550,1897,12,12,"(869, 969)","(458, 558)",0_0,14
1,5,3788,1681570,-265008,206,50,48,12,3998,1946578,1878,12,12,"(869, 969)","(458, 558)",0_0,15
1,5,3855,1705791,-265623,193,50,48,12,4037,1971414,1940,12,12,"(869, 969)","(458, 558)",0_0,16
1,5,3824,1689335,-260598,202,50,48,12,3988,1949933,1900,12,12,"(869, 969)","(458, 558)",0_0,17
1,5,3861,1702923,-214027,197,50,48,12,4008,1916950,1510,12,12,"(869, 969)","(458, 558)",0_0,18
1,5,3849,1702084,-190581,192,50,48,12,4019,1892665,1222,12,12,"(869, 969)","(458, 558)",0_0,19
1,6,4438,1959815,-5242,166,50,49,12,4428,1965057,252,12,12,"(968, 1068)","(458, 558)",0_0,0
1,6,4365,1922693,-8281,159,50,49,12,4356,1930974,250,12,12,"(968, 1068)","(458, 558)",0_0,1
1,6,4316,1903734,-5464,158,50,49,12,4303,1909198,237,12,12,"(968, 1068)","(458, 558)",0_0,2
1,6,4354,1920557,-4172,161,50,49,12,4333,1924729,244,12,12,"(968, 1068)","(458, 558)",0_0,3
1,6,4339,1917655,-5029,159,50,49,12,4330,1922684,237,12,12,"(968, 1068)","(458, 558)",0_0,4
1,6,4288,1892916,-5735,167,50,49,12,4287,1898651,233,12,12,"(968, 1068)","(458, 558)",0_0,5
1,6,4314,1901742,-5104,159,50,49,12,4292,1906846,236,12,12,"(968, 1068)","(458, 558)",0_0,6
