Oligo_Identity,New_title,koff_median_MAX_181206,koff_err_MAX_181206,Kd_MAX_181206,Kd_err_MAX_181206,koff_median_MAX_190503,koff_err_MAX_190503,Kd_MAX_190503,Kd_err_MAX_190503,koff_median_MAX_190510_d3,koff_err_MAX_190510_d3,Kd_MAX_190510_d3,Kd_err_MAX_190510_d3,koff_median_Pho4_181206,koff_err_Pho4_181206,Kd_Pho4_181206,Kd_err_Pho4_181206,koff_median_Pho4_181217,koff_err_Pho4_181217,Kd_Pho4_181217,Kd_err_Pho4_181217,koff_median_Pho4_200710_d2,koff_err_Pho4_200710_d2,Kd_Pho4_200710_d2,Kd_err_Pho4_200710_d2
11,Mutated motif + random 3,0.1540532826683535,0.04835478807914739,5022.1442056461965,568.7290741987179,0.09455602351230896,0.02257191289707504,6854.261330699596,1110.9870424444966,0.15893184022650086,0.047739833531525035,9253.355183778547,1244.0184644854655,0.2773519943983641,0.027441494400422164,11621.86333371948,1809.2119718514248,0.2794792457970627,0.03149271256326983,12949.240819895907,1484.932339322959,0.23470758396373106,0.02701427380212798,6809.243358956655,533.6937994960654
13,Motif + repeat 4,0.0702393763308161,0.005404712935620541,,,0.065790003400573,0.017002297549412293,2563.786917059512,263.9074808495324,0.047712065536454656,0.020114692084858003,1437.4256156452036,77.19407523655335,0.1511242581122144,0.02611157825010826,1091.8524627598183,151.19529178760732,0.15385489307722455,0.006405621791125678,384.54624536118746,71.04761871190658,0.15666217565107265,0.009555255504940066,988.9080752367644,58.77749964445482
14,Mutated motif + repeat 1,0.1233999350722874,0.03466736492229916,3157.43968907943,300.19206916042685,0.07829238323077606,0.010212762790530423,8472.992894391577,1232.8772514617451,0.09890615637990685,0.03974697355058119,6112.2667911306535,397.73173192508347,0.31629455782192495,0.03498685995226922,8314.414978556948,1458.6960399547766,0.3269856633845003,0.03933364822243519,10331.16367569637,1175.1517473371844,0.2311534342391151,0.02516434570666173,5290.027421224001,729.8744713364534
15,Motif + random 1,0.07550340230109226,0.004742398886317035,724.3908456641719,95.03072799391228,0.06258123944943851,0.013537555738074938,2917.489537480695,275.8659124833287,0.05778278767138616,0.01684209230006194,2037.0468629126945,109.090362547832,0.19082412087533918,0.018650974889460274,2196.205736949336,313.5223572709561,0.1800096014835761,0.007698673986332681,867.53967103336,139.36898144179182,0.1676861173264082,0.005934349035276242,1435.042532096529,81.4005341650692
16,Motif + repeat 8,0.0746525588084391,0.008653068185695138,,,0.058386383755345064,0.004555147009833564,,,0.06629790317724236,0.016506037293596183,1083.1171995292814,56.00910366403734,0.1809705354814089,0.013522151295792314,1258.668099051633,201.879344713333,0.1790284917096073,0.010918158017410617,,,0.21826612636339146,0.04245835049638599,1154.493196568995,105.56024830368568
17,Motif + repeat 5,0.052290596748332,0.01708012309133336,,,0.06301852431911671,0.009212370014511003,2012.786059552784,194.0429780755157,0.062433657970357354,0.014216709488667502,985.6781389944416,60.71505339677493,0.1328792465147114,0.02160916531965707,388.61600726619486,58.61172435033582,0.1457112472015418,0.014094108912529596,,,0.14181134830408745,0.009130421056511587,935.986519760876,47.64304822789809
18,Mutated motif + repeat 2,0.14535587916256476,0.030707120256973596,2128.1219436089464,167.70111808770662,0.10115315180198321,0.024117219198987166,9009.405186543405,2228.5809698443004,0.06567009388330906,0.036344445805385615,4563.903640629024,462.11516536110383,0.27332350640660485,0.04956635986774136,9429.9557334376,942.305842178728,0.24345571124866383,0.05130452511348579,7907.732529150729,1161.7738103359716,0.24651401719139762,0.029864442247517067,7437.589385401104,1306.7399138237529
19,Motif + random 2,0.0698383137888378,0.014707565585897855,654.426374557346,54.04646319548129,0.0681129321260057,0.01058965595437924,2730.050901952988,265.7051230870396,0.07987687541253437,0.014213848514839218,1781.0124305734118,90.1913453536292,0.14496908613895138,0.02580893519114598,1097.8396646472029,121.1078197114022,0.1586236123167929,0.015036377389348946,793.845820154548,116.75417567887388,0.1812639934649624,0.024338549481045347,1341.9651826128909,78.65853614246564
20,Motif + repeat 9,0.0736365626286099,0.014551102839204003,236.43355363074843,34.293317797507626,0.07686437141308261,0.00678139913150725,2215.964810297808,243.0376565250121,0.08363320428306001,0.025661916383994687,1062.3112527921685,58.91715717215448,0.1754871953140206,0.013467769862971263,945.9778142395623,144.10420547144716,0.17806717594578114,0.015841096297047982,,,0.215646016707812,0.06210480875322473,969.6088413483676,53.40259892157719
21,Motif + repeat 6,0.0575095237102254,0.006034621504707426,,,0.0682202674891964,0.012098080722947973,1959.077948294156,239.5424797918353,0.052213323459119554,0.03097347873243095,1417.8087133901251,65.34117616366638,0.09586594383680849,0.01804015402001494,,,0.12387532979429555,0.02233263725540727,,,0.1532709359316298,0.007865490526851994,1028.8763040089148,60.50502186983679
