Oligo_Identity,New_title,koff_median_MAX_181206,koff_err_MAX_181206,kon_inferred_MAX_181206,kon_err_MAX_181206,koff_median_MAX_190503,koff_err_MAX_190503,kon_inferred_MAX_190503,kon_err_MAX_190503,koff_median_MAX_190510_d3,koff_err_MAX_190510_d3,kon_inferred_MAX_190510_d3,kon_err_MAX_190510_d3,koff_median_Pho4_181206,koff_err_Pho4_181206,kon_inferred_Pho4_181206,kon_err_Pho4_181206,koff_median_Pho4_181217,koff_err_Pho4_181217,kon_inferred_Pho4_181217,kon_err_Pho4_181217,koff_median_Pho4_200710_d2,koff_err_Pho4_200710_d2,kon_inferred_Pho4_200710_d2,kon_err_Pho4_200710_d2
17,Motif + repeat 5,0.052290596748332,0.01708012309133336,,,0.06301852431911671,0.009212370014511003,31309.102137322356,4573.904054034089,0.062433657970357354,0.014216709488667502,63340.816337927754,10756.880507423039,0.13441328652966975,0.02160916531965707,345876.8656371869,136929.4455007235,0.22108889091768605,0.014094108912529596,,,0.2233507504729394,0.009130421056511587,238626.033342874,19087.46616107457
18,Mutated motif + repeat 2,0.14535587916256476,0.030707120256973596,68302.42016867932,15400.39929692072,0.10115315180198321,0.024117219198987166,11227.506112508649,3554.439101509822,0.06567009388330906,0.036344445805385615,14389.018492567917,5804.972984723951,0.27485754642156324,0.04956635986774136,29147.278544155637,7806.1763893292045,0.3188333549648081,0.05130452511348579,40319.188059216016,10357.66941372674,0.32805341936024957,0.029864442247517067,44107.492678228555,9339.745629516554
19,Motif + random 2,0.0698383137888378,0.014707565585897855,106716.83859941685,24140.305974109426,0.0681129321260057,0.01058965595437924,24949.326797269594,3834.5856127749025,0.07987687541253437,0.014213848514839218,44849.13975969126,6361.74618628737,0.14650312615390976,0.02580893519114598,133446.74169792305,50611.37267587213,0.23400125603293714,0.015036377389348946,294769.1479781063,51577.419008343495,0.26280339563381433,0.024338549481045347,195834.73478955656,27901.122425257574
20,Motif + repeat 9,0.0736365626286099,0.014551102839204003,311447.1761635502,76343.55094748895,0.07686437141308261,0.00678139913150725,34686.63900071259,4501.138043969601,0.08363320428306001,0.025661916383994687,78727.58954895688,18712.455596213433,0.17702123532897895,0.013467769862971263,187130.43019014137,37780.776428950245,0.2534448196619254,0.015841096297047982,,,0.29718541887666394,0.06210480875322473,306500.31868870836,87462.73205291377
21,Motif + repeat 6,0.0575095237102254,0.006034621504707426,,,0.0682202674891964,0.012098080722947973,34822.64069614912,6361.611874107921,0.052213323459119554,0.03097347873243095,36826.775689840535,14428.075650651863,0.09739998385176685,0.01804015402001494,,,0.1992529735104398,0.02233263725540727,,,0.23481033810048174,0.007865490526851994,228220.18272319666,17518.21168050452
22,Mutated motif + repeat 3,0.1181274914518033,0.013527792745663542,94511.99659962556,13593.735347610193,0.07912968677969821,0.01162613405088341,12500.948332676284,1956.5329668158518,0.07151924616263546,0.024138670775430693,12302.792265389786,3327.98914866254,0.3123839394039266,0.02244509265948827,35500.411735739246,6040.888978834338,0.3735932280437814,0.01805717608755668,31835.52360741702,4121.961571610022,0.27885985464040064,0.02654129588118765,43364.04505507581,7739.450348906592
23,Motif + random 3,0.0758852094295264,0.004549875959681746,103301.56877727261,16013.046214911106,0.06356374128724392,0.01040110498059662,24450.162360008817,3705.665906252168,0.05430874349041981,0.026936392158320773,23125.76819014026,7717.968525363413,0.16680293926188844,0.009566908823501105,108823.44294640665,20300.01684628964,0.24545147266827605,0.003943437877631998,348290.18499101716,66382.6350180192,0.2524053896747964,0.0103101253966202,196743.96191073683,16819.396529820628
24,Motif + repeat 10,0.0730828193357104,0.005785760068035983,,,0.0694108853686441,0.007697842847323782,28529.76747828433,3180.067047635129,0.07705217708478006,0.01622297758771986,49148.36941762124,7943.282552035938,0.18206453045827195,0.006813459071742658,161153.55029023322,26520.57487373531,0.2502852076906691,0.010875628451193109,,,0.2549743629319027,0.09128351382945572,261610.58528540755,133719.9424660982
25,Motif + short repeat 1,0.0692774852276962,0.00914234645177195,,,0.06048993323618311,0.012129667570272552,22203.819867541133,3941.7091740111937,0.05350151744013697,0.019616406463671885,36092.879764532765,8963.977200918715,0.15809060462284874,0.020075085253048228,,,0.24549741297930372,0.014523216918527003,,,0.22786226702236384,0.006709253637663139,251997.22606826507,18686.609242034185
26,Mutated motif + repeat 4,0.167592303985614,0.03556368108912628,64535.46126550937,16253.549778324696,0.08715410869357486,0.015984716468355472,13602.079573304334,2357.5722231208642,0.12896513180995217,0.015404947497389871,21581.67001913115,2365.1498720013774,0.30310837661119017,0.02842553193440808,37293.03857325633,5904.73006459427,0.33909999962369963,0.013795399463220342,57609.38934387487,6546.211717781535,0.3154680162533908,0.022406046447794245,62526.412055699286,9357.5735484351
28,Motif + repeat 11,0.0918632449605499,0.012542593233326904,,,0.08312939634990361,0.005777019148838962,33419.99099186135,4754.9958733665735,0.07884544949368756,0.011939187054772236,66725.53573460467,8350.669478592583,0.1905607252117414,0.01693037789953273,138441.41256757465,26663.997522070666,0.28713548328811694,0.01548320015996373,636004.9649925142,113371.6946496206,0.23802583572066985,0.003164596402131989,250795.0650748192,15052.327648203369
29,Motif + short repeat 2,0.057582648544793655,0.0051523889054320825,,,0.058165842764433706,0.01021537074341338,24405.004886770705,3628.791736924224,0.04135165456316896,0.016486651861713802,22454.456882854003,5609.594356471967,0.15683310573385834,0.02606975831290272,178104.25323826115,62885.026459554865,0.23526293805505155,0.0036413132507428976,355846.10189733736,62014.13132089781,0.2585634223620529,0.01701401404285373,260496.9026404483,29387.48623258997
32,Motif + repeat 12,0.0674875986266763,0.005079496287810382,268726.30392374244,46447.72452020286,0.07072752735688957,0.0058693137033692805,37519.64750715705,4032.350080118954,0.06322169552387447,0.018891615384636965,60117.86739809981,12799.666352199456,0.17989500604893455,0.008759690943147332,171407.34277778267,24842.347324346174,0.2406886676398503,0.0078510872953972,,,0.22040094316934264,0.002449875033170116,269907.52238179394,20829.224873847383
