Oligo_Identity,New_title,koff_median_MAX_181206,koff_err_MAX_181206,Kd_MAX_181206,Kd_err_MAX_181206,koff_median_MAX_190503,koff_err_MAX_190503,Kd_MAX_190503,Kd_err_MAX_190503,koff_median_MAX_190510_d3,koff_err_MAX_190510_d3,Kd_MAX_190510_d3,Kd_err_MAX_190510_d3,koff_median_Pho4_181206,koff_err_Pho4_181206,Kd_Pho4_181206,Kd_err_Pho4_181206,koff_median_Pho4_181217,koff_err_Pho4_181217,Kd_Pho4_181217,Kd_err_Pho4_181217,koff_median_Pho4_200710_d2,koff_err_Pho4_200710_d2,Kd_Pho4_200710_d2,Kd_err_Pho4_200710_d2
11,Mutated motif + random 3,0.1540532826683540,0.04835478807914740,5022.1442056462000,568.7290741987180,0.09455602351230900,0.02257191289707500,6854.261330699600,1110.9870424445000,0.15893184022650100,0.047739833531525000,9253.355183778550,1244.0184644854700,0.2773519943983640,0.027441494400422200,11621.86333371950,1809.2119718514200,0.2794792457970630,0.03149271256326980,12949.240819895900,1484.932339322960,0.23470758396373100,0.02701427380212800,6809.243358956660,533.6937994960650
13,Motif + GT/AC repeat 3,0.0702393763308161,0.005404712935620540,,,0.065790003400573,0.017002297549412300,2563.786917059510,263.9074808495320,0.047712065536454700,0.020114692084858000,1437.4256156452000,77.19407523655340,0.1511242581122140,0.02611157825010830,1091.8524627598200,151.19529178760700,0.15385489307722500,0.006405621791125680,384.54624536118700,71.04761871190660,0.15666217565107300,0.009555255504940070,988.9080752367640,58.77749964445480
14,Mutated motif + GT/AC repeat 1,0.1233999350722870,0.03466736492229920,3157.43968907943,300.19206916042700,0.07829238323077610,0.010212762790530400,8472.992894391580,1232.8772514617500,0.09890615637990690,0.03974697355058120,6112.2667911306500,397.73173192508300,0.31629455782192500,0.03498685995226920,8314.414978556950,1458.6960399547800,0.3269856633845000,0.03933364822243520,10331.16367569640,1175.1517473371800,0.2311534342391150,0.02516434570666170,5290.027421224000,729.8744713364530
15,Motif + random 1,0.07550340230109230,0.004742398886317040,724.3908456641720,95.03072799391230,0.06258123944943850,0.013537555738074900,2917.489537480700,275.8659124833290,0.05778278767138620,0.01684209230006190,2037.0468629126900,109.090362547832,0.19082412087533900,0.018650974889460300,2196.205736949340,313.5223572709560,0.1800096014835760,0.007698673986332680,867.53967103336,139.36898144179200,0.1676861173264080,0.005934349035276240,1435.042532096530,81.4005341650692
16,Motif + AC/GT repeat 1,0.0746525588084391,0.008653068185695140,,,0.058386383755345100,0.004555147009833560,,,0.06629790317724240,0.016506037293596200,1083.1171995292800,56.00910366403730,0.1809705354814090,0.013522151295792300,1258.668099051630,201.879344713333,0.1790284917096070,0.010918158017410600,,,0.21826612636339100,0.04245835049638600,1154.493196569000,105.56024830368600
17,Motif + CG/AT repeat 1,0.052290596748332,0.01708012309133340,,,0.06301852431911670,0.009212370014511000,2012.786059552780,194.0429780755160,0.062433657970357400,0.014216709488667500,985.6781389944420,60.71505339677490,0.1328792465147110,0.02160916531965710,388.61600726619500,58.61172435033580,0.1457112472015420,0.014094108912529600,,,0.14181134830408700,0.009130421056511590,935.986519760876,47.64304822789810
18,Mutated motif + AT/CG repeat 1,0.14535587916256500,0.030707120256973600,2128.1219436089500,167.70111808770700,0.10115315180198300,0.024117219198987200,9009.405186543410,2228.5809698443000,0.06567009388330910,0.036344445805385600,4563.903640629020,462.11516536110400,0.27332350640660500,0.04956635986774140,9429.9557334376,942.305842178728,0.24345571124866400,0.05130452511348580,7907.732529150730,1161.7738103359700,0.24651401719139800,0.029864442247517100,7437.589385401100,1306.7399138237500
19,Motif + random 2,0.0698383137888378,0.014707565585897900,654.426374557346,54.04646319548130,0.0681129321260057,0.01058965595437920,2730.050901952990,265.7051230870400,0.07987687541253440,0.014213848514839200,1781.0124305734100,90.1913453536292,0.14496908613895100,0.02580893519114600,1097.8396646472000,121.1078197114020,0.1586236123167930,0.015036377389348900,793.845820154548,116.75417567887400,0.1812639934649620,0.024338549481045300,1341.9651826128900,78.65853614246560
20,Motif + AC/GT repeat 2,0.0736365626286099,0.014551102839204000,236.43355363074800,34.293317797507600,0.07686437141308260,0.00678139913150725,2215.964810297810,243.0376565250120,0.08363320428306000,0.025661916383994700,1062.3112527921700,58.91715717215450,0.1754871953140210,0.013467769862971300,945.9778142395620,144.10420547144700,0.17806717594578100,0.015841096297048000,,,0.215646016707812,0.06210480875322470,969.6088413483680,53.40259892157720
21,Motif + CG/AT repeat 2,0.0575095237102254,0.006034621504707430,,,0.0682202674891964,0.012098080722948000,1959.077948294160,239.5424797918350,0.052213323459119600,0.03097347873243100,1417.8087133901300,65.34117616366640,0.09586594383680850,0.01804015402001490,,,0.12387532979429600,0.02233263725540730,,,0.1532709359316300,0.007865490526851990,1028.8763040089100,60.50502186983680
22,Mutated motif + CG/AT repeat 1,0.1181274914518030,0.013527792745663500,1249.8676961848400,108.7657197092770,0.07912968677969820,0.01162613405088340,6329.894714696230,663.5809920977030,0.07151924616263550,0.024138670775430700,5813.253172113900,678.5079583827550,0.31084989938896800,0.02244509265948830,8799.445531203260,1244.0309498258300,0.2982155843276370,0.01805717608755670,11735.105495696700,1343.0338714771400,0.1973204524715490,0.02654129588118770,6430.66979305612,783.390403882486
23,Motif + random 3,0.0758852094295264,0.004549875959681750,734.5988093669870,105.00916379450600,0.06356374128724390,0.01040110498059660,2599.7267564656400,229.752282313728,0.05430874349041980,0.026936392158320800,2348.4081931416400,121.94568150469600,0.1652688992469300,0.009566908823501110,1532.784984059320,236.70278439808900,0.1700738289521320,0.003943437877632000,704.7326719086460,133.32142848808000,0.17086598750594400,0.0103101253966202,1282.913016610460,80.28627498262310
24,Motif + AC/GT repeat 3,0.0730828193357104,0.005785760068035980,,,0.0694108853686441,0.007697842847323780,2432.928534082050,174.7788905704000,0.07705217708478010,0.01622297758771990,1567.7463565485900,70.05132219045950,0.1805304904433140,0.006813459071742660,1129.7581103883800,171.35013976401500,0.1749075639745250,0.010875628451193100,,,0.1734349607630510,0.09128351382945570,974.6332039803930,52.73419685801740
25,Motif + short GT/AC repeat 4,0.0692774852276962,0.00914234645177195,,,0.06048993323618310,0.012129667570272600,2724.3030071871100,262.8688191958200,0.05350151744013700,0.019616406463671900,1482.328863453870,79.62001665654060,0.1565565646078900,0.020075085253048200,,,0.17011976926315900,0.014523216918527000,,,0.1463228648535120,0.006709253637663140,904.2252987365700,53.97293521777240
26,Mutated motif + CG/AT repeat 2,0.167592303985614,0.03556368108912630,2596.902550926410,352.2645558835210,0.08715410869357490,0.015984716468355500,6407.410589232620,578.8625422778870,0.12896513180995200,0.015404947497389900,5975.678976447630,286.8184698216610,0.30157433659623200,0.02842553193440810,8127.746845186170,791.7445017705960,0.2637223559075550,0.013795399463220300,5886.193266163360,593.7658458691540,0.23392861408453900,0.022406046447794200,5045.356128420870,590.2903320059890
27,No motif + AT/CG repeat 3,,,2755.3338798988900,360.3026875068810,,,8331.700950746710,986.2886252348460,,,11683.644588330000,951.6941733501850,,,4316.471486407340,574.9126816555470,,,2765.415579508010,322.4889653725990,,,6701.665481119090,626.4033959242840
28,Motif + AC/GT repeat 4,0.0918632449605499,0.012542593233326900,,,0.08312939634990360,0.005777019148838960,2487.415282970840,325.8455610973510,0.07884544949368760,0.011939187054772200,1181.638313213230,65.08593798696580,0.18902668519678300,0.01693037789953270,1376.47197957278,171.31510177673300,0.2117578395719730,0.01548320015996370,451.4673612516480,73.3950861113682,0.1564864335518180,0.003164596402131990,949.0850055189880,53.88638288863600
29,Motif + short GT/AC repeat 2,0.057582648544793700,0.0051523889054320800,,,0.058165842764433700,0.01021537074341340,2383.357144745500,175.47529297164700,0.04135165456316900,0.016486651861713800,1841.5789247944200,128.9356619064180,0.1552990657189,0.02606975831290270,880.5691210756930,131.30192484823800,0.1598852943389070,0.0036413132507429000,661.1367577181600,114.22975327568500,0.17702402019320100,0.01701401404285370,992.5777225802020,63.55913276032310
31,No motif + AC/GT repeat 6,,,6621.001098896280,1011.9320726868200,,,14699.29735780650,1829.5183930701500,,,19097.4584977153,1446.298192544370,,,7477.907648491290,734.8046502724590,,,9898.248435316110,968.977509737924,,,6366.3559676327100,429.9373817302260
32,Motif + AC/GT repeat 5,0.0674875986266763,0.005079496287810380,251.1387893230860,39.076201314348700,0.07072752735688960,0.0058693137033692800,1885.079739712320,162.6884101451620,0.06322169552387450,0.018891615384637000,1051.6290457414500,45.46949733345690,0.1783609660339760,0.008759690943147330,1049.5175010218500,124.09593008168500,0.16531102392370600,0.0078510872953972,,,0.1388615410004910,0.002449875033170120,816.5794759050010,61.4884893451511
